ACCOUNT_ID,CHURN_FLAG,CLASSIFICATION1,DOMICILESTATE,ACCOUNTOPENDATE,ACCOUNTCLOSEDATE,ACCOUNTSTATUS,total_transactions,transaction_frequency_30d,transaction_frequency_90d,days_since_last_transaction,avg_transaction_amount,total_transaction_volume,transaction_volatility,net_cash_flow,inflow_outflow_ratio,total_realized_gain,total_realized_loss,gain_loss_ratio,transaction_trend_30d,large_transaction_count,transaction_consistency_score,current_portfolio_value,portfolio_volatility,unrealized_pnl,total_return_pct,max_drawdown,portfolio_diversification,value_at_risk,account_age_years,account_status_encoded,days_since_closure,value_tier,geographic_risk,transaction_activity_risk,portfolio_performance_risk,account_relationship_risk,cash_flow_risk,concentration_risk,engagement_decline_risk,comprehensive_risk_score,adjusted_risk_score
209310,1,WRAP Fee Accounts,NY,1997-07-09,2004-04-23,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,28.01095140314853,0,7751.0,4.0,2.0,3,1,3,1,3,3,14,0.0
209324,1,WRAP Fee Accounts,CT,1997-07-18,2004-04-23,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,27.98631074606434,0,7751.0,4.0,1.0,3,1,3,1,3,3,14,0.0
214436,1,Individual,NY,2000-06-02,2000-06-29,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,25.111567419575632,0,9145.0,4.0,2.0,3,1,3,1,3,3,14,0.0
215886,1,Trust,FL,2001-02-02,2004-11-22,CLOSED,270,0,0,7540,574.0520370370375,4122169.7699999996,35439.262993797885,154994.05000000028,1.0781382328080997,93859.91,-29440.61,1,0.0,58,0.26861541120785704,0,0,0,0,0,0,0,24.44079397672827,0,7538.0,4.0,1.0,3,1,3,1,3,3,14,0.0
222468,1,IRA,CA,2002-01-23,2016-04-18,CLOSED,38,0,0,3373,1.3404482202579522e-14,29124.579999999998,2375.0750139436564,0.0,1.0,2602.48,0.0,1,0.0,12,0.0766290347859135,0,0,0,0,0,0,0,23.468856947296374,0,3373.0,4.0,3.0,3,1,3,1,3,3,14,0.0
232768,1,IRA,NJ,2005-02-18,2006-12-12,CLOSED,139,0,0,6802,-75.1440287769784,13161.42,352.7057941399365,-10445.02,0.11507029437729702,894.41,0.0,1,0.0,39,0.12682143669011572,0,0,0,0,0,0,0,20.396988364134156,0,6788.0,4.0,1.0,3,1,3,2,3,3,15,0.0
244070,1,Individual,NY,2007-03-20,2008-09-12,CLOSED,319,0,0,6155,223.25683385579936,843666.6699999999,5770.865986584122,71218.93000000005,1.1843980539058865,2709.83,-43893.28,1,0.0,53,0.2339734542280416,0,0,0,0,0,0,0,18.316221765913756,0,6148.0,4.0,2.0,3,1,3,1,3,3,14,0.0
246263,1,Non-Profit,NY,2007-07-27,2009-11-05,CLOSED,325,0,0,5729,2171.7571384615385,4100015.13,35657.993335198335,705821.0700000003,1.4158990661836233,70305.51,-228692.62,1,0.0,50,0.3254796207055803,0,0,0,0,0,0,0,17.963039014373717,0,5729.0,4.0,2.0,3,1,3,1,3,3,14,0.0
282593,1,Individual,CA,2016-06-29,2016-11-02,CLOSED,0,0,0,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,9.037645448323067,0,3175.0,3.0,3.0,3,1,1,1,3,3,12,0.0
288774,1,RETIREMENT PLAN,NY,2012-09-27,2017-03-03,CLOSED,719,0,0,3054,-65.90057023643944,2591792.6500000004,30130.539799755028,-47382.51000000001,0.9640929403109417,145761.94,-46203.42,1,0.0,116,0.42754022564083966,0,0,0,0,0,0,0,12.791238877481177,0,3054.0,4.0,2.0,3,1,2,2,3,3,14,0.0
289906,1,Trust,NJ,2013-01-23,2014-05-12,CLOSED,815,0,0,4080,-3.403630479027523e-14,2179202.88,26569.889504498486,-2.3283064365386963e-10,0.9999999999999998,121128.89,-20013.6,1,0.0,101,0.5066102402359587,0,0,0,0,0,0,0,12.46817248459959,0,4080.0,4.0,1.0,3,1,2,2,3,3,14,0.0
614379,1,Entity,,2021-02-19,2022-07-12,CLOSED,42,0,0,1287,-72102.92714285714,13375367.94,817260.0683421504,-3028322.9400000004,0.6307754197328547,0.0,0.0,0,0.0,42,0.040036677099365384,0,0,0,0,0,0,0,4.394250513347022,0,1097.0,2.0,1.0,3,1,1,3,3,3,14,0.0
