"ACCOUNTID","BE_ASOF","ASSETCLASSLEVEL1","DAY_BOOK_MARKET_VALUE","AVG_BOOK_UNIT_COST","TOTAL_DAILY_QUANTITY","DAILY_BOOKUGL","AVG_BOOK_PRICE_PERIODEND","DAILY_ORIGINAL_COST_SUM"
pn,2024-07-10 00:00:00.000,Equity,2527696.87,91.91541635135135135135135135135135135135,52666.83,1850171.6,232.479162162162162162162162162162162162,677525.27
159331,2024-07-11 00:00:00.000,Equity,2513736.87,91.91541635135135135135135135135135135135,52666.83,1836211.6,231.531086486486486486486486486486486486,677525.27
159331,2024-07-12 00:00:00.000,Equity,2525986.16,91.91541635135135135135135135135135135135,52847.33,1848280.39,232.498378378378378378378378378378378378,677525.27
159331,2024-07-15 00:00:00.000,Equity,2538361.09,91.91541635135135135135135135135135135135,53245.18,1860257.47,232.706756756756756756756756756756756757,677705.77
159331,2024-07-16 00:00:00.000,Equity,2555216.36,91.91541635135135135135135135135135135135,53245.18,1877112.74,235.002972972972972972972972972972972973,678103.62
159331,2024-07-17 00:00:00.000,Equity,2528573.37,91.91541635135135135135135135135135135135,53245.18,1850469.75,232.128117567567567567567567567567567568,678103.62
159331,2024-07-18 00:00:00.000,Equity,2500346.39,91.91541635135135135135135135135135135135,53245.18,1822242.77,229.866148648648648648648648648648648649,678103.62
159331,2024-07-19 00:00:00.000,Equity,2494856.34,91.91541635135135135135135135135135135135,53245.18,1816752.72,228.998243243243243243243243243243243243,678103.62
159331,2024-07-22 00:00:00.000,Equity,2512891.73,91.91541635135135135135135135135135135135,53245.18,1834788.11,231.419459459459459459459459459459459459,678103.62
159331,2024-07-23 00:00:00.000,Equity,2508472.94,91.91541635135135135135135135135135135135,53245.18,1830369.32,230.668109459459459459459459459459459459,678103.62
159331,2024-07-24 00:00:00.000,Equity,2447414.63,91.91541635135135135135135135135135135135,47237.44,1775318.75,226.264054054054054054054054054054054054,678103.62
159331,2024-07-25 00:00:00.000,Equity,2433895.17,91.91541635135135135135135135135135135135,47439.94,1761596.79,225.49527027027027027027027027027027027,672095.88
159331,2024-07-26 00:00:00.000,Equity,2461185.81,91.91541635135135135135135135135135135135,47439.94,1788887.43,229.065540540540540540540540540540540541,672298.38
159331,2024-07-29 00:00:00.000,Equity,2467756.69,91.91541635135135135135135135135135135135,47439.94,1795458.31,229.015878378378378378378378378378378378,672298.38
159331,2024-07-30 00:00:00.000,Equity,2464840.12,91.91541635135135135135135135135135135135,47439.94,1792541.74,228.781891891891891891891891891891891892,672298.38
159331,2024-07-31 00:00:00.000,Equity,2487731.95,91.91541635135135135135135135135135135135,47873.48,1815000.03,231.416756756756756756756756756756756757,672571.38
159331,2024-08-01 00:00:00.000,Equity,2470105.96,91.91541635135135135135135135135135135135,47712.94,1797534.58,230.241351351351351351351351351351351351,672571.38
159331,2024-08-02 00:00:00.000,Equity,2436788.97,91.91541635135135135135135135135135135135,47873.48,1764057.05,225.716351351351351351351351351351351351,672731.92
159331,2024-08-05 00:00:00.000,Equity,2359522.17,91.91541635135135135135135135135135135135,48053.88,1686609.85,219.875135135135135135135135135135135135,672731.92
159331,2024-08-06 00:00:00.000,Equity,2375020.79,91.91541635135135135135135135135135135135,48053.88,1702108.47,222.482231081081081081081081081081081081,672912.32
159331,2024-08-07 00:00:00.000,Equity,2373130.62,91.91541635135135135135135135135135135135,48074.83,1700197.35,221.807297297297297297297297297297297297,672912.32
159331,2024-08-08 00:00:00.000,Equity,2415778.03,91.91541635135135135135135135135135135135,48074.83,1742844.76,226.02222972972972972972972972972972973,672933.27
159331,2024-08-09 00:00:00.000,Equity,2432148.79,91.91541635135135135135135135135135135135,48342.23,1758948.12,226.754189189189189189189189189189189189,672933.27
159331,2024-08-12 00:00:00.000,Equity,2426696.49,91.91541635135135135135135135135135135135,48342.23,1753495.82,225.612432432432432432432432432432432432,673200.67
159331,2024-08-13 00:00:00.000,Equity,2458586.78,91.91541635135135135135135135135135135135,48342.23,1785386.11,228.662162162162162162162162162162162162,673200.67
159331,2024-08-14 00:00:00.000,Equity,2467237.9,91.91541635135135135135135135135135135135,48552.23,1793827.23,229.820945945945945945945945945945945946,673200.67
159331,2024-08-15 00:00:00.000,Equity,2497787.46,91.91541635135135135135135135135135135135,49767.03,1823161.99,232.757702702702702702702702702702702703,673410.67
159331,2024-08-16 00:00:00.000,Equity,2497298.78,91.91541635135135135135135135135135135135,49767.03,1822673.31,232.214594594594594594594594594594594595,674625.47
159331,2024-08-19 00:00:00.000,Equity,2515804.26,91.91541635135135135135135135135135135135,49767.03,1841178.79,233.871264864864864864864864864864864865,674625.47
159331,2024-08-20 00:00:00.000,Equity,2522135.5,91.91541635135135135135135135135135135135,49902.03,1847375.03,234.205122972972972972972972972972972973,674625.47
159331,2024-09-16 00:00:00.000,Equity,2540304.95,91.91541635135135135135135135135135135135,52493.94,1862952.57,235.281486486486486486486486486486486486,677129.88
159331,2024-09-17 00:00:00.000,Equity,2545271.25,91.91541635135135135135135135135135135135,53161.94,1867250.87,235.524864864864864864864864864864864865,677352.38
159331,2024-09-18 00:00:00.000,Equity,2547236.19,91.91541635135135135135135135135135135135,53161.94,1869215.81,234.999594594594594594594594594594594595,678020.38
159331,2024-09-19 00:00:00.000,Equity,2592031.12,91.91541635135135135135135135135135135135,53161.94,1914010.74,238.684594594594594594594594594594594595,678020.38
159331,2024-09-20 00:00:00.000,Equity,2581833.6,91.91541635135135135135135135135135135135,53161.94,1903813.22,236.513648648648648648648648648648648649,678020.38
159331,2024-09-23 00:00:00.000,Equity,2583509.51,91.91541635135135135135135135135135135135,53763.94,1904887.13,237.380945945945945945945945945945945946,678020.38
159331,2024-09-30 00:00:00.000,Equity,2608913.22,91.91541635135135135135135135135135135135,54756.32,1929298.46,239.126216216216216216216216216216216216,679461.2
159331,2024-10-01 00:00:00.000,Equity,2579003.93,91.91541635135135135135135135135135135135,54809.76,1899335.73,237.009278378378378378378378378378378378,679461.2
159331,2024-10-02 00:00:00.000,Equity,2586036.55,91.91622851351351351351351351351351351351,62809.93,1898368.18,237.490810810810810810810810810810810811,679821.76
159331,2024-10-04 00:00:00.000,Equity,2594731.79,91.91622851351351351351351351351351351351,62809.93,1907063.42,237.934864864864864864864864864864864865,687668.37
159331,2024-10-08 00:00:00.000,Equity,2582727.74,91.91622851351351351351351351351351351351,63040.93,1894828.37,237.133510810810810810810810810810810811,687899.37
159331,2024-10-09 00:00:00.000,Equity,2603988.61,91.91622851351351351351351351351351351351,63040.93,1916089.24,239.093648648648648648648648648648648649,687899.37
